# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	13972
#@/user_id	036845c7-2634-4d65-b057-ba3ac1d41d55
biao qian 	標籤	c=4 d=1.00028 t=9231
biao shi 	表實	c=2 d=1.99501 t=2073
biao shi 	表示	c=1 d=1 t=2074
biao ti 	標題	c=0 d=0.1 t=3941
biao zhu 	標注	c=1 d=1 t=11866
biao zhun 	標準	c=0 d=0.1 t=2858
bie 	別	c=5 d=1 t=9529
bie de 	別的	c=6 d=1.00121 t=11860
bie ren 	別人	c=10 d=1.01535 t=13627
bie shuo 	別說	c=1 d=1 t=12065
bing 	並	c=1 d=1 t=7691
bing 	病	c=1 d=1 t=468
bing du 	病毒	c=1 d=1 t=1300
bo dong 	波動	c=2 d=1.07445 t=6742
bo dong le 	波動了	c=1 d=1 t=6684
bu 	不	c=98 d=1.47919 t=13620
bu ai shi 	不礙事	c=1 d=1 t=13611
bu an quan 	不安全	c=1 d=1 t=9966
bu bu bu 	不不不	c=1 d=1 t=12470
bu cha 	不差	c=2 d=1 t=13043
bu cha qian 	不差錢	c=1 d=1 t=5650
bu chang 	補償	c=1 d=1 t=4049
bu chang jiu 	不長久	c=1 d=1 t=13148
bu chong 	補充	c=3 d=1.97531 t=9745
bu chou 	不抽	c=2 d=2.08661 t=882
bu chu lai 	不出來	c=1 d=0.103329 t=6855
bu cun zai 	不存在	c=2 d=1 t=12596
bu cuo 	不錯	c=4 d=1.0001 t=12434
bu da 	不大	c=2 d=1 t=10049
bu dao 	不到	c=5 d=1 t=9973
bu dong 	不動	c=3 d=2.3173 t=8255
bu dong 	不懂	c=3 d=1.81916 t=872
bu dui 	不對	c=10 d=1.86071 t=8265
bu duo 	不多	c=1 d=1 t=13069
bu fang bian 	不方便	c=1 d=1 t=12163
bu fen 	部分	c=2 d=1 t=12489
bu fu kuan 	不付款	c=1 d=1 t=609
bu gan 	不敢	c=4 d=1.76721 t=13495
bu gou 	不夠	c=1 d=1 t=130
bu gou yong 	不夠用	c=1 d=1 t=12530
bu guan 	不管	c=7 d=1.17286 t=13328
bu guan shi 	不管是	c=1 d=1 t=12203
bu guang 	不光	c=1 d=1 t=9838
bu gui 	不归	c=1 d=1 t=8818
bu gui 	不貴	c=1 d=1 t=12613
bu guo 	不過	c=16 d=1.95604 t=13213
bu guo lai 	不過來	c=1 d=1 t=13541
bu guo qu 	不過去	c=2 d=1 t=13770
bu hao 	不好	c=4 d=1.52918 t=8404
bu hao shuo 	不好說	c=1 d=1 t=13532
bu hao ting 	不好聽	c=2 d=0.1 t=13160
bu he shi 	不合適	c=7 d=1.0001 t=10618
bu hua 	不花	c=1 d=1 t=773
bu hui 	不會	c=8 d=1.00209 t=13391
bu hui lai 	補回來	c=1 d=1 t=6143
bu hui qu 	不回去	c=3 d=1.04416 t=12334
bu ji 	不急	c=2 d=1 t=13212
bu jia 	不加	c=2 d=1 t=13125
bu jia ban 	不加班	c=1 d=1 t=11223
bu jian 	不见	c=1 d=1 t=13744
bu jie 	不借	c=2 d=1.20393 t=4141
bu jie 	不接	c=1 d=1 t=8808
bu jie hun 	不結婚	c=2 d=1 t=5253
bu jin 	不緊	c=1 d=1 t=7396
bu jiu 	不就	c=1 d=0.1 t=13825
bu jiu hao le 	不就好了	c=1 d=1 t=13826
bu ju 	佈局	c=3 d=1.00002 t=6056
bu ju jue 	不拒絕	c=1 d=1 t=5572
bu jue de 	不覺得	c=1 d=1 t=7771
bu kan 	不看	c=1 d=1 t=6977
bu kao lv 	不考慮	c=1 d=1 t=6935
bu ke neng 	不可能	c=3 d=1.25158 t=9847
bu ken na er guo 	不肯納二果	c=1 d=1 t=10872
bu lai 	不來	c=1 d=1 t=950
bu li 	不離	c=1 d=1 t=2613
bu li jie 	布里傑	c=1 d=1 t=6303
bu liao 	不了	c=1 d=1 t=5404
bu lun 	不論	c=1 d=1 t=6551
bu mai 	不買	c=2 d=1.00468 t=3639
bu mang 	不忙	c=1 d=1 t=2443
bu men 	部門	c=8 d=1 t=9078
bu nao 	不撓	c=0 d=0.1 t=12106
bu neng 	不能	c=22 d=1.0542 t=13501
bu pa 	不怕	c=1 d=1 t=7161
bu ping 	不平	c=1 d=1 t=8263
bu qi 	不起	c=1 d=0.108189 t=6757
bu qi guai 	不奇怪	c=1 d=1 t=1798
bu qi se 	不起色	c=1 d=1 t=6674
bu qu 	不去	c=6 d=1 t=13197
bu quan 	不全	c=0 d=0.1 t=4550
bu que ding 	不確定	c=3 d=1.76721 t=11342
bu ran 	不然	c=12 d=1.32163 t=13768
bu re 	不熱	c=1 d=1 t=11824
bu ren 	不忍	c=0 d=0.1 t=6044
bu ren 	不認	c=2 d=1.94649 t=2305
bu ren shi 	不認識	c=0 d=0.1 t=8014
bu ren zhi shi 	不忍直視	c=1 d=1 t=6045
bu ru 	不如	c=1 d=1 t=13338
bu shang 	不赏	c=1 d=1 t=7242
bu shang ban 	不上班	c=1 d=1 t=12563
bu shang ke 	不上課	c=1 d=1 t=8717
bu shang qu 	不上去	c=1 d=1 t=8924
bu shao 	不少	c=0 d=0.1 t=6870
bu sheng xiao 	不生效	c=1 d=1 t=4829
bu shi 	不是	c=73 d=1.43805 t=13940
bu shi yong 	不適用	c=1 d=1 t=11514
bu shi zi ji 	不是自己	c=1 d=1 t=7268
bu shou 	不寿	c=1 d=1 t=8140
bu shu 	部署	c=3 d=2.28722 t=10582
bu shu xi 	不熟悉	c=2 d=1 t=13882
bu shuo 	不說	c=6 d=1.12435 t=8715
bu shuo hua 	不說話	c=1 d=1 t=3225
bu suan 	不算	c=3 d=1 t=12940
bu tai 	不太	c=4 d=1.9627 t=12748
bu tai da 	不太大	c=1 d=1 t=6745
bu tai jian yi 	不太建議	c=1 d=1 t=12689
bu tong 	不同	c=1 d=1 t=1830
bu tong yi 	不統一	c=1 d=1 t=7523
bu wen 	不穩	c=1 d=1 t=10607
bu xi huan 	不喜歡	c=3 d=1 t=8693
bu xiang 	不像	c=1 d=1 t=13947
bu xiang 	不想	c=9 d=1 t=10906
bu xiang 	不香	c=2 d=1.1678 t=526
bu xiang dai 	不想戴	c=1 d=1 t=7340
bu xiang hui qu 	不想回去	c=1 d=1 t=5705
bu xiang qu 	不想去	c=1 d=1 t=11202
bu xiang shang ban 	不想上班	c=3 d=1.16203 t=10798
bu xiao you san wu hou wei da 	不孝有三无后为大	c=1 d=1 t=1334
bu xin 	不信	c=3 d=1 t=4565
bu xing 	不行	c=14 d=1.0319 t=13658
bu xing le 	不行了	c=1 d=1 t=9776
bu xing ma 	不行嗎	c=1 d=1 t=8771
bu xu yao 	補虛藥	c=2 d=1 t=13460
bu yao 	不要	c=16 d=1.78666 t=12440
bu yao lian 	不要脸	c=4 d=2.56647 t=8001
bu yao qiu 	不要求	c=1 d=1 t=2860
bu yao shuo 	不要說	c=1 d=0.1 t=7842
bu yao shuo wo 	不要說我	c=1 d=1 t=7843
bu yao xiang 	不要想	c=1 d=1 t=13018
bu yi 	不依	c=0 d=0.1 t=12106
bu yi bu nao 	不依不撓	c=1 d=1 t=12107
bu yi ding 	不一定	c=2 d=1 t=8599
bu yi yang 	不一樣	c=6 d=1.00067 t=12419
bu ying xiang 	不影響	c=0 d=0.1 t=2776
bu ying xiang wo 	不影響我	c=1 d=1 t=2777
bu yong 	不用	c=7 d=1.16613 t=13461
bu yong gai 	不用改	c=1 d=1 t=4708
bu yong mai 	不用買	c=1 d=1 t=6834
bu yuan yi 	不願意	c=1 d=1 t=3613
bu yun xu 	不允許	c=1 d=1 t=8110
bu zai 	不再	c=3 d=1.60653 t=4382
bu zai hu 	不在乎	c=1 d=1 t=3544
bu zai jia 	不在家	c=1 d=1 t=7806
bu zhao 	不着	c=0 d=0.1 t=11812
bu zhao wo 	不着我	c=1 d=1 t=11813
bu zhen xi 	不珍惜	c=1 d=1 t=1693
bu zhi 	不止	c=1 d=1 t=10371
bu zhi chi 	不支持	c=2 d=1.00001 t=11597
bu zhi dao 	不知道	c=24 d=1.04204 t=13834
bu zhi qian 	不值錢	c=1 d=1 t=13207
bu zhong yao 	不重要	c=6 d=1 t=12352
bu zhu 	不住	c=1 d=1 t=4698
bu zhun 	不准	c=1 d=1 t=13920
bu zhuo diao 	不着調	c=2 d=1 t=7816
cai 	才	c=12 d=2.96341 t=12843
cai 	蔡	c=1 d=1 t=6609
cai 	財	c=0 d=0.1 t=13296
cai cai 	猜猜	c=1 d=1 t=10238
cai cai cai 	猜猜猜	c=1 d=1 t=10255
cai dan 	菜單	c=1 d=1 t=6069
cai li 	彩禮	c=2 d=1.48919 t=12796
cai li 	蔡立	c=1 d=1 t=12652
cai lian she 	財聯社	c=1 d=1 t=13297
cai ni 	裁你	c=1 d=1 t=7183
cai piao 	彩票	c=1 d=1 t=10893
cai qu 	採取	c=1 d=1 t=12559
cai qu 	纔去	c=1 d=1 t=12560
cai shi 	纔是	c=3 d=1 t=9856
cai xing 	才性	c=2 d=1.92312 t=7270
cai yuan 	裁員	c=3 d=1 t=11902
can guan 	餐館	c=0 d=0.1 t=8413
can ting 	餐廳	c=2 d=1.49411 t=8489
cao 	草	c=3 d=1.07769 t=10485
cao zuo 	操作	c=7 d=1.00007 t=13756
cao zuo yo 	操作喲	c=1 d=1 t=11756
ce 	測	c=5 d=1.00001 t=11359
ce shi 	測試	c=7 d=1.00001 t=11855
ceng 	層	c=1 d=1 t=4897
cha 	差	c=1 d=1 t=2870
cha 	查	c=4 d=1.00007 t=6941
cha 	茶	c=2 d=1.46275 t=8607
cha bu duo 	差不多	c=8 d=1.06339 t=13713
cha can guan 	茶餐館	c=1 d=1 t=8414
cha cha 	查查	c=2 d=1.70469 t=2803
cha dian 	差點	c=2 d=1.19301 t=12451
cha ju 	差距	c=1 d=1 t=11808
cha kan 	查看	c=6 d=1.29066 t=11469
cha lu kou 	岔路口	c=0 d=0.1 t=3380
cha ye 	茶葉	c=1 d=1 t=8600
chai 	拆	c=3 d=2.63896 t=6947
chai fen 	拆分	c=1 d=1 t=13128
chai kai 	拆開	c=1 d=1 t=10337
chai qian 	差遣	c=1 d=1 t=3392
chai qian 	拆遷	c=3 d=1 t=6845
chai qian hu 	拆遷戶	c=1 d=1 t=3515
chan kan 	產看	c=1 d=1 t=6059
